homeaway,line,hit,position,opp,cat,last10,last5,log,oppposrank,oppteam,gamescore,minutes,shots,spread
0,2.5,0,Guard,22,rebounds,0.3,0.2,0.24,26,Brooklyn,216,12.3,3.6,10
0,4.5,1,Guard,7,assists,0.5,0.4,0.23,13,Brooklyn,216,12.3,3.6,10
0,10.5,0,Shooting Guard,23,points,0.6,0.6,0.02,23,LA Lakers,213,-2.2,-1.7,19
0,17.5,0,Shooting Guard,21,pra,0.7,0.8,0.66,23,LA Lakers,213,-2.2,-1.7,19
0,2.5,0,Shooting Guard,28,3-pt,0.4,0.4,0.35,21,LA Lakers,213,-2.2,-1.7,19
0,3.5,1,Shooting Guard,26,assists,0.6,0.4,0.54,28,LA Lakers,213,-2.2,-1.7,19
0,3.5,1,Shooting Guard,14,rebounds,0.6,0.6,0.69,14,LA Lakers,213,-2.2,-1.7,19
1,17.5,1,Small Forward,28,points,0.5,0.4,0.0,28,Atlanta,252,2.4,1.9,32
1,2.5,1,Small Forward,27,3-pt,0.6,0.4,0.5,27,Atlanta,252,2.4,1.9,32
1,26.5,0,Small Forward,28,pra,0.4,0.2,0.45,28,Atlanta,252,2.4,1.9,32
1,6.5,0,Small Forward,17,rebounds,0.6,0.6,0.58,6,Atlanta,252,2.4,1.9,32
1,18.5,0,Small Forward,26,points,0.4,0.6,0.01,24,Detroit,216,2.2,-0.8,10
1,2.5,1,Small Forward,7,3-pt,1.0,1.0,0.56,20,Detroit,216,2.2,-0.8,10
1,27.5,0,Small Forward,25,pra,0.4,0.6,0.49,27,Detroit,216,2.2,-0.8,10
1,3.5,0,Small Forward,18,assists,0.7,0.8,0.57,25,Detroit,216,2.2,-0.8,10
1,4.5,0,Small Forward,15,rebounds,0.4,0.4,0.53,20,Detroit,216,2.2,-0.8,10
1,10.5,0,Center,15,rebounds,0.6,0.8,0.43,20,Detroit,216,1.6,0.5,10
1,11.5,0,Center,26,points,0.3,0.4,0.0,19,Detroit,216,1.6,0.5,10
1,23.5,0,Center,25,pra,0.6,0.6,0.54,21,Detroit,216,1.6,0.5,10
1,0.5,1,Center,27,3-pt,0.7,0.8,0.67,5,Atlanta,252,3.8,4.8,32
1,13.5,1,Center,17,rebounds,0.5,0.6,0.4,22,Atlanta,252,3.8,4.8,32
1,28.5,0,Center,28,points,0.7,0.6,0.01,11,Atlanta,252,3.8,4.8,32
1,50.5,0,Center,28,pra,0.5,0.6,0.43,15,Atlanta,252,3.8,4.8,32
1,9.5,1,Center,24,assists,0.4,0.6,0.39,4,Atlanta,252,3.8,4.8,32
1,1.5,0,Power Forward,10,3-pt,0.3,0.6,0.36,8,Cleveland,213,4.9,1.7,19
1,13.5,0,Power Forward,7,points,0.9,1.0,0.0,7,Cleveland,213,4.9,1.7,19
1,19.5,0,Power Forward,7,pra,0.8,0.8,0.44,5,Cleveland,213,4.9,1.7,19
1,4.5,1,Power Forward,12,rebounds,0.6,0.6,0.36,8,Cleveland,213,4.9,1.7,19
1,0.5,1,Point Guard,10,3-pt,0.8,0.6,0.79,10,Cleveland,213,-6.4,-3.6,19
1,0.5,1,Power Forward,10,3-pt,0.9,0.8,0.78,8,Cleveland,213,-8.7,-2.6,19
1,2.5,1,Power Forward,12,rebounds,0.4,0.4,0.58,8,Cleveland,213,-8.7,-2.6,19
1,0.5,0,Power Forward,7,3-pt,0.6,0.8,0.31,5,Detroit,216,11.4,3.3,10
1,10.5,0,Power Forward,26,points,0.6,0.8,0.02,23,Detroit,216,11.4,3.3,10
1,17.5,0,Power Forward,25,pra,0.4,0.6,0.21,9,Detroit,216,11.4,3.3,10
